,Unnamed: 0,id,standard_smiles,mol,rule_of_five,rule_of_ghose,rule_of_veber,rule_of_reos,alerts_BMS,alerts_PAINS,alerts_SureChEMBL,alerts_Chelator,alerts_AlphaScreen-Hitters,alerts_Frequent-Hitter,filters_NIBR,filter_complexity,filter_bredt,filter_molecular_graph,cluster,smiles
1630,2494,compound_0355,Cn1nc(C(=O)Nc2cnn(C)c2C(N)=O)cc1C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7352cff078b0>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,450,Cn1nc(C(=O)Nc2cnn(C)c2C(N)=O)cc1C(F)(F)F
1631,2495,compound_2728,CC1CN(c2nc(NC3CCCCC3)c3cnn(C)c3n2)CC(C)O1,<rdkit.Chem.rdchem.Mol object at 0x7352cff07920>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,449,CC1CN(c2nc(NC3CCCCC3)c3cnn(C)c3n2)CC(C)O1
1632,2496,compound_1647,Cn1c(=O)cc(NCc2ccco2)n(Cc2ccc(F)cc2F)c1=O,<rdkit.Chem.rdchem.Mol object at 0x7352cff07990>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,448,Cn1c(=O)cc(NCc2ccco2)n(Cc2ccc(F)cc2F)c1=O
1633,2497,compound_0111,CC(NC(=O)Cn1nc(C(F)(F)F)cc1C1CC1)C(C)(C)C,<rdkit.Chem.rdchem.Mol object at 0x7352cff07a00>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,31,CC(NC(=O)Cn1nc(C(F)(F)F)cc1C1CC1)C(C)(C)C
1634,2499,compound_1628,CCOc1ccc(C(=O)C(C)n2cnc3c(=O)[nH]c(=O)n(C)c32)cc1,<rdkit.Chem.rdchem.Mol object at 0x7352cff07ae0>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,447,CCOc1ccc(C(=O)C(C)n2cnc3c(=O)[nH]c(=O)n(C)c32)cc1
1635,2500,compound_0663,COC(=O)c1cscc1Sc1ccc(C(F)(F)F)cn1,<rdkit.Chem.rdchem.Mol object at 0x7352cff07b50>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,446,COC(=O)c1cscc1Sc1ccc(C(F)(F)F)cn1
1636,2501,compound_0349,CCCn1nnnc1NC(=O)COc1ccc(Cl)cc1Cl,<rdkit.Chem.rdchem.Mol object at 0x7352cff07bc0>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,99,CCCn1nnnc1NC(=O)COc1ccc(Cl)cc1Cl
1637,2503,compound_0412,Cc1ccc(CNC(=O)c2c(-c3ccccc3)noc2C)cc1,<rdkit.Chem.rdchem.Mol object at 0x7352cff07ca0>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,110,Cc1ccc(CNC(=O)c2c(-c3ccccc3)noc2C)cc1
1638,2504,compound_0455,O=C(CSc1nn2cnnc2s1)Nc1cccc(F)c1,<rdkit.Chem.rdchem.Mol object at 0x7352cff07d10>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,445,O=C(CSc1nn2cnnc2s1)Nc1cccc(F)c1
1639,2507,compound_1229,O=S(=O)(Cc1ccccc1)NCCOc1ccc(Cl)cc1,<rdkit.Chem.rdchem.Mol object at 0x7352cff07e60>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,444,O=S(=O)(Cc1ccccc1)NCCOc1ccc(Cl)cc1
